Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-01-13.19.32 Tonio Private Loss,2,0,2,1,352,0,471.70795,50.95,2569,656,1844,725,678,437,5.3768706,14.175108,34.90009,19.433475,18.70305,26.963392,91,0.09,68.86957,41.34114,40.2489,18.409956,58.56051,37.87883,3.560657,3288,3288,3287,4002,35.155632,27.843987,37.00038,51.23865,48.76135,73.30015,26.699854,29.072437,37.702362,28.674604,34.672707,1,0,M0nkey M00n
2023-01-13.19.32 zenui Private Loss,2,0,2,1,352,0,471.76566,50.95,2569,656,1844,725,678,397,5.3805895,14.192146,34.900646,19.452284,18.748331,26.898745,93,0.08,69.0,41.28193,40.30642,18.411646,58.54059,37.862144,3.5972698,3313,3327,3297,3993,35.11249,27.838646,37.048866,51.23473,48.76527,73.34193,26.658075,29.657515,38.65577,29.320845,35.625744,1,0,M0nkey M00n
2023-01-13.19.26 Tonio Private Loss,1,0,2,0,306,0,418.7019,51.12,2303,998,1476,827,266,268,13.920369,11.287195,27.408882,21.026033,22.560492,29.004595,85,0.09,64.26087,48.6903,40.132175,11.177531,57.97411,35.128723,6.8971734,2594,2373,2854,3827,49.050762,23.88405,27.065186,63.802944,36.197056,66.83689,33.163113,27.11957,36.27053,40.4824,24.695475,0,1,M0nkey M00n
2023-01-13.19.26 zenui Private Loss,1,0,2,0,306,0,418.9177,51.12,2303,998,1476,827,266,270,13.900257,11.274821,27.394447,21.02151,22.584105,28.999939,84,0.09,64.13043,48.614532,40.17551,11.209954,57.93238,35.221638,6.8459806,2593,2375,2847,3820,49.0849,23.852743,27.062359,63.804657,36.195343,66.870026,33.12998,28.043049,37.229042,41.018642,25.769289,0,1,M0nkey M00n
2023-01-13.19.20 Tonio Private Win,4,1,0,0,418,0,406.56815,47.66,3974,767,2916,1058,767,475,12.718468,14.087678,38.038643,17.844252,12.650451,31.466652,139,0.08,69.91304,38.76398,45.197582,16.038439,60.345284,35.037113,4.6176023,3094,2817,3390,3894,40.488106,22.945524,36.566372,58.492943,41.507057,69.49102,30.50898,28.10033,38.74026,30.11237,37.25681,3,2,M0nkey M00n
2023-01-13.19.20 zenui Private Win,4,1,0,0,418,0,406.80743,47.77,3976,768,2916,1060,774,489,12.717848,14.053068,38.041435,17.842993,12.675441,31.44013,138,0.08,69.86957,38.708344,45.300804,15.990857,60.341885,35.046627,4.6114855,3095,2816,3390,3895,40.46909,22.916252,36.614655,58.59173,41.408268,69.43451,30.565495,28.9042,39.527985,31.05283,37.805668,3,2,M0nkey M00n
2023-01-13.19.09 Tonio Private Loss,2,1,1,1,324,0,449.548,51.69,2561,738,1810,751,626,310,6.5474973,11.108511,27.794493,24.007753,20.264408,27.93335,90,0.08,71.21739,37.9536,45.253017,16.793383,60.691807,33.732525,5.57567,3329,2914,3671,4103,38.46047,22.563843,38.975685,59.77943,40.22057,75.48389,24.516111,38.969017,36.218952,29.899652,37.886547,3,1,M0nkey M00n
2023-01-13.19.09 zenui Private Loss,2,1,1,1,324,0,451.4486,51.58,2571,738,1820,751,616,314,6.534972,11.109159,28.012276,24.08662,20.26808,27.633028,90,0.09,71.08696,37.967945,45.190243,16.841812,60.765457,33.6985,5.536043,3348,2925,3693,4102,38.486412,22.547735,38.96585,59.817146,40.18285,75.54564,24.454355,39.244953,36.61106,30.640911,38.54258,3,1,M0nkey M00n
2023-01-12.19.17 fades Private Loss,1,1,2,4,684,1,448.1989,45.01,2812,378,1963,849,386,225,12.562427,13.917225,39.558197,29.840557,8.216417,22.384827,94,0.08,69.0,42.04526,45.807022,12.147719,54.27048,38.03381,7.69571,3057,2762,3449,3905,42.33519,26.268457,31.396347,57.523712,42.47629,72.42616,27.573835,26.431835,38.917225,34.401234,34.16215,0,1,M0nkey M00n
2023-01-12.18.18 TKAY Private Loss,1,1,2,4,684,1,448.8503,45.07,2811,378,1963,848,386,224,12.534596,13.966361,39.55847,29.784283,8.275515,22.381735,92,0.09,68.95652,42.078182,45.765842,12.155974,54.304424,38.022205,7.6733713,3050,2754,3447,3904,42.412983,26.303482,31.283543,57.561356,42.438637,72.48043,27.519571,26.453054,38.455395,34.03768,34.01107,0,1,M0nkey M00n
2023-01-12.19.08 fades Private Loss,4,1,1,1,362,0,416.03644,54.43,2283,584,1563,720,504,305,6.214123,16.68337,33.325253,17.158186,13.77565,35.740917,85,0.09,66.08696,46.609245,38.581535,14.809224,60.9141,33.713223,5.372684,2907,2972,2820,3758,43.239006,24.143034,32.61796,58.402153,41.597843,70.04913,29.950861,27.577827,36.689445,33.014427,34.68489,2,2,M0nkey M00n
2023-01-12.18.08 TKAY Private Loss,4,1,1,1,362,0,416.4412,54.43,2283,584,1563,720,504,305,6.2262487,16.65704,33.341423,17.13956,13.771128,35.74788,86,0.09,66.17391,46.593773,38.542686,14.8635435,60.96658,33.658295,5.3751335,2923,2994,2828,3759,43.172928,24.146616,32.680454,58.417046,41.582954,70.033775,29.966219,27.361444,36.664337,32.89454,34.597027,2,2,M0nkey M00n
2023-01-12.19.02 fades Private Loss,6,3,1,2,733,1,445.7971,46.21,2954,928,2026,928,311,385,13.001158,9.195635,37.090076,28.346722,12.221763,22.34143,105,0.08,70.82609,40.059155,43.757423,16.183424,58.80202,35.867157,5.330818,3019,3123,2951,4027,40.98139,26.034607,32.984,57.868137,42.13186,63.3317,36.668297,26.05765,41.27471,34.73515,28.72378,2,1,M0nkey M00n
2023-01-12.18.02 TKAY Private Loss,6,3,1,2,733,1,446.58334,46.21,2954,928,2026,928,311,385,12.976214,9.191695,37.099995,28.353273,12.192394,22.354343,106,0.08,70.78261,40.025196,43.858788,16.11601,58.785786,35.866447,5.3477683,3023,3116,2965,4025,40.966892,25.989874,33.043236,57.893505,42.10649,63.367397,36.632603,26.254787,41.297115,34.871998,28.850029,2,1,M0nkey M00n
2023-01-12.18.53 fades Private Loss,3,0,1,5,468,0,479.92062,55.09,2902,446,2322,580,503,377,10.482071,18.00667,31.604147,21.142214,20.218868,27.034779,90,0.09,64.91304,49.364502,37.384514,13.250982,60.422142,32.365177,7.21268,2946,2818,3145,3934,45.846203,19.905056,34.248745,61.58597,38.414024,78.64016,21.359842,39.359444,28.940767,31.338717,30.815027,1,0,M0nkey M00n
